__time,_src_T_in,_src_T_out,_sink_T_out,_sink_T_in,_Energy_kWh,_Q_cond_kW,__interval_h,_T_source_ref_C,_T_sink_ref_C,m_dot_kg_s,P_comp_kW,Q_cond_kW,Q_evap_kW,COP,T2_C,T4_C
2024-01-01 00:30:00.000000,56.30355760689301,20,90,60,999.4910865776186,999.4931688550538,0.9999979166666666,25.0,80.0,0.008135103190925688,267.7918370407827,-999.4931688550538,731.7013318142714,3.732351142215132,25.0,80.0
2024-01-01 01:29:59.995000,56.27273039777015,20,90,60,997.0549532574414,997.0570304595883,0.9999979166666666,25.0,80.0,0.008115274904097884,267.13912825143234,-997.0570304595883,729.9179022081561,3.7323511422151325,25.0,80.0
2024-01-01 02:29:59.982500,56.4096491526937,20,90,60,1003.6512374895572,1003.6533284339914,0.9999979166666666,25.0,80.0,0.00816896367994148,268.9064587418021,-1003.6533284339914,734.7468696921895,3.732351142215132,25.0,80.0
2024-01-01 03:29:59.975000,56.926243466016444,20,90,60,1009.563471814304,1009.5655750759188,0.9999979166666666,25.0,80.0,0.00821708480574905,270.4905129791047,-1009.5655750759188,739.0750620968141,3.732351142215133,25.0,80.0
2024-01-01 04:29:59.967500,57.631277946212094,20,90,60,1011.2208047623026,1011.2229114767016,0.9999979166666666,25.0,80.0,0.008230574245259569,270.9345591949169,-1011.2229114767016,740.2883522817849,3.7323511422151325,25.0,80.0
2024-01-01 05:29:59.960000,58.25616998950221,20,90,60,1010.4648739669892,1010.466979106529,0.9999979166666666,25.0,80.0,0.008224421539039716,270.73202402569814,-1010.466979106529,739.7349550808311,3.732351142215132,25.0,80.0
2024-01-01 06:29:59.952500,57.37447521149903,20,90,60,1003.1215498976451,1003.1236397385612,0.9999979166666666,25.0,80.0,0.008164652422665626,268.7645405044104,-1003.1236397385612,734.359099234151,3.732351142215132,25.0,80.0
2024-01-01 07:29:59.945000,56.56320545624925,20,90,60,1004.6083202858651,1004.6104132242261,0.9999979166666666,25.0,80.0,0.008176753611652512,269.16288820241994,-1004.6104132242261,735.4475250218063,3.732351142215133,25.0,80.0
2024-01-01 08:29:59.937500,56.28582662736352,20,90,60,1006.251543085872,1006.2536394476209,0.9999979166666666,25.0,80.0,0.008190128205206428,269.60315391183,-1006.2536394476209,736.6504855357911,3.7323511422151325,25.0,80.0
2024-01-01 09:29:59.930000,56.529119800762544,20,90,60,1007.7309765923609,1007.7330760362694,0.9999979166666666,25.0,80.0,0.00820216967751271,269.9995358524023,-1007.7330760362694,737.7335401838671,3.732351142215133,25.0,80.0
2024-01-01 10:29:59.922500,57.065832627928444,20,90,60,1004.802375314684,1004.8044686573271,0.9999979166666666,25.0,80.0,0.008178333073145826,269.2148810149145,-1004.8044686573271,735.5895876424128,3.732351142215132,25.0,80.0
2024-01-01 11:29:59.915000,58.52658539296664,20,90,60,1000.8334532548938,1000.8355383289321,0.9999979166666666,25.0,80.0,0.008146029042677989,268.15149491399166,-1000.8355383289321,732.6840434149406,3.7323511422151325,25.0,80.0
2024-01-01 12:29:59.907500,59.7090110188077,20,90,60,997.4048359914167,997.4069139224874,0.9999979166666666,25.0,80.0,0.008118122685517684,267.2328716988111,-997.4069139224874,730.1740422236766,3.732351142215132,25.0,80.0
